"","Abrahamia","Abrus","Acacia","Adansonia","Adenanthera","Adenia","Aframomum","Agelaea","Alafia","Alberta","Albizia","Allophylus","Alluaudia","Ambavia","Ampelocissus","Ampelosycios","Amyrea","Anacardium","Anacolosa","Anisocycla","Anisophyllea","Annona","Anthocleista","Anthostema","Antiaris","Antidesma","Antirhea","Aphloia","Apodytes","Argyreia","Artabotrys","Artocarpus","Asparagus","Aspidostemon","Asteropeia","Astrocassine","Astrotrichilia","Avicennia","Azadirachta","Azima","Bakerella","Baphia","Baseonema","Baudouinia","Beguea","Beilschmiedia","Bembiciopsis","Berchemia","Blotia","Boscia","Bosqueia","Brachylaena","Bremeria","Breonia","Brexia","Brexiella","Bridelia","Brochoneura","Broussonetia","Buddleja","Burasaia","Buxus","Byttneria","Cabucala","Calophyllum","Camellia","Campnosperma","Camptolepis","Campylospermum","Cananga","Canarium","Canephora","Canthium","Capparis","Capurodendron","Capuronia","Carica","Carissa","Casearia","Cassia","Cassine","Cassinopsis","Cassipourea","Cassytha","Catunaregam","Cecropia","Cedrelopsis","Ceiba","Celtis","Cereus","Chadsia","Chasmanthera","Chloroxylon","Chrysalidocarpus","Chrysophyllum","Cinnamomum","Cinnamosma","Cissus","Citrullus","Citrus","Clerodendrum","Clidemia","Cocos","Coffea","Colea","Colubrina","Combretum","Commiphora","Coptosperma","Corallocarpus","Cordia","Cordyla","Craspidospermum","Craterispermum","Crateva","Crotalaria","Croton","Cryptocarya","Cryptostegia","Cucumis","Cynanchum","Cynometra","Cyperus","Cyphostemma","Dalbergia","Danais","Deidamia","Deinbollia","Desmostachys","Deuteromallotus","Dialium","Dialyceras","Dichaetanthera","Dichapetalum","Dichrostachys","Dillenia","Dilobeia","Diospyros","Diporidium","Dombeya","Domohinea","Dracaena","Drypetes","Dypsis","Ehretia","Elaeocarpus","Elaeodendron","Embelia","Entada","Enterospermum","Ephippiandra","Eriobotrya","Erythroxylum","Eugenia","Euonymus","Euphorbia","Evonymopsis","Faucherea","Ficus","Filicium","Flacourtia","Flagellaria","Gaertnera","Gambeya","Garcinia","Gardenia","Genipa","Givotia","Gouania","Grangeria","Grewia","Grisollea","Gyrocarpus","Gyrostipula","Haematodendron","Haplocoelum","Harungana","Hazunta","Heritiera","Homalium","Homollea","Hugonia","Humbertia","Hymenaea","Hyperacanthus","Ilex","Intsia","Ivodea","Ixora","Jasminum","Khaya","Lablab","Labourdonnaisia","Labramia","Landolphia","Lantana","Lawsonia","Leea","Leptolaena","Leucaena","Litchi","Ludia","Lumnitzera","Macaranga","Macarisia","Macphersonia","Maerua","Maesa","Maillardia","Malleastrum","Mammea","Mangifera","Manilkara","Mapouria","Marsdenia","Mascarenhasia","Medinilla","Melanophylla","Melastoma","Melia","Memecylon","Mendoncia","Metaporana","Micronychia","Microsteira","Mikania","Mimosa","Mimusops","Monanthotaxis","Morinda","Musa","Mussaenda","Mystroxylon","Neodypsis","Neotina","Nesogordonia","Noronhia","Nuxia","Ochna","Ochrocarpos","Ocotea","Olax","Olea","Omphalea","Oncostemum","Operculicarya","Ophiocolea","Opuntia","Orania","Oryza","Ouratea","Pachytrophe","Paederia","Pandanus","Parkia","Passiflora","Pauridiantha","Pentas","Pentopetia","Peponidium","Persea","Petchia","Phoenix","Phyllanthus","Phyllarthron","Phylloctenium","Physena","Piper","Pithecellobium","Pittosporum","Plagioscyphus","Plectaneia","Plectronia","Podocarpus","Poivrea","Polyalthia","Polycardia","Polyscias","Potameia","Poupartia","Premna","Protium","Protorhus","Prunus","Psiadia","Psidium","Psorospermum","Psychotria","Pyrostria","Quivisianthe","Raphia","Raphidiocystis","Ravenala","Ravenea","Ravensara","Rheedia","Rhigozum","Rhipsalis","Rhizophora","Rhodolaena","Rhopalocarpus","Rhus","Rinorea","Rothmannia","Rubus","Salacia","Saldinia","Salvadora","Sansevieria","Sarcolaena","Savia","Schefflera","Schismatoclada","Schizenterospermum","Schizolaena","Sclerocarya","Scolopia","Scutia","Secamone","Senna","Seyrigia","Sideroxylon","Sloanea","Smilax","Solanum","Sorindeia","Sphaerocoryne","Stadmania","Sterculia","Stereospermum","Streblus","Strychnopsis","Strychnos","Suregada","Symphonia","Syzygium","Tabernaemontana","Tacca","Talinella","Tamarindus","Tambourissa","Tannodia","Tarenna","Terminalia","Terminalis","Theobroma","Thilachium","Tina","Tinopsis","Toddalia","Treculia","Trema","Tricalysia","Trilepisium","Tristemma","Trophis","Turraea","Uapaca","Urtica","Uvaria","Vaccinium","Vangueria","Vepris","Vernonia","Viscum","Vitex","Voacanga","Vonitra","Weinmannia","Xanthocercis","Xeromphis","Xerosicyos","Ximenia","Xyloolaena","Xylopia","Zanha","Zanthoxylum","Ziziphus","Zygophyllum"
"Avahi_laniger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheirogaleus_crossleyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheirogaleus_major",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,7,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheirogaleus_medius",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,1,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2,0,4,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,6,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daubentonia_madagascariensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eulemur_albifrons",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eulemur_cinereiceps",1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,1,0,0,2,0,0,0,0,1,12,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eulemur_collaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,5,0,1,0,1,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,1,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,5,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eulemur_coronatus",2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,1,0,2,1,1,0,0,0,1,0,0,0,1,4,1,0,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,3,0,0,0,0,2,1,0,1,2,0,0,0,0,0,1,0,4,0,2,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,1,0,2,4,1,0,0,0,0,2,0,5,0,0,0,0,1,0,3,1,0,1,3,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"Eulemur_flavifrons",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eulemur_fulvus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,1,0,0,1,1,3,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,4,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0
